time_str,total_occupied_mean,total_occupied_std,total_occupied_min,total_occupied_max,utilization_percent_mean,utilization_percent_std,mc_occupied_mean,mc_occupied_std,car_occupied_mean,car_occupied_std,truck_occupied_mean,truck_occupied_std,is_full_mean
10:39,223.701,7.424872236458199,191,231,96.84025974025974,3.2142304053931574,140.0,0.0,73.865,7.3926603077935615,9.836,0.6461590528047421,1.0
10:50,224.036,7.271284314038037,192,231,96.98528138528138,3.1477421272891895,140.0,0.0,74.193,7.237688521560947,9.843,0.633049565003999,1.0
11:00,224.355,7.135116318945678,193,231,97.12337662337663,3.0887949432665285,140.0,0.0,74.503,7.113268558798377,9.852,0.6168277526801765,1.0
11:09,224.553,7.046051223049537,194,231,97.20909090909092,3.0502386246967683,140.0,0.0,74.692,7.025987510699158,9.861,0.5899381552561483,1.0
11:20,224.756,6.9481465687434065,194,231,97.2969696969697,3.0078556574646815,140.0,0.0,74.892,6.92808302016758,9.864,0.5795169021174792,1.0
11:30,224.943,6.863151889172637,194,231,97.37792207792208,2.9710614238842563,140.0,0.0,75.075,6.8450149181159,9.868,0.5752450842092499,1.0
11:39,225.15,6.7629311128561085,194,231,97.46753246753246,2.9276758064312145,140.0,0.0,75.276,6.743092264925139,9.874,0.5660781257427677,1.0
11:50,225.335,6.675277846976439,195,231,97.54761904761905,2.8897306696867706,140.0,0.0,75.458,6.652404865196537,9.877,0.5605222432563987,1.0
12:00,225.832,6.440749898828489,195,231,97.76277056277056,2.7882034194062766,140.0,0.0,75.943,6.422070849344003,9.889,0.5243605190648453,1.0
12:09,228.207,4.8134520170372825,203,231,98.79090909090908,2.083745461920905,140.0,0.0,78.265,4.800189248021043,9.942,0.3671113874163681,1.0
12:20,229.649,3.269019040245177,209,231,99.41515151515152,1.4151597576818924,140.0,0.0,79.688,3.251958061111986,9.961,0.29928008381542587,1.0
12:30,230.474,1.9175507818571593,216,231,99.77229437229437,0.8301085635745271,140.0,0.0,80.494,1.8951399831029794,9.98,0.20891061161090804,1.0
12:39,230.822,1.0475750156496715,219,231,99.92294372294371,0.4534956777704209,140.0,0.0,80.827,1.044107830236494,9.995,0.08355825501996768,1.0
12:50,230.961,0.43550966541360153,223,231,99.98311688311688,0.1885323226898752,140.0,0.0,80.963,0.4333806857934699,9.998,0.04469897088298544,1.0
13:00,230.985,0.2772216655527679,224,231,99.99350649350649,0.12000937902717423,140.0,0.0,80.987,0.27368943331065204,9.998,0.04469897088298544,1.0
13:09,230.994,0.18973665961010208,225,231,99.9974025974026,0.08213708208229534,140.0,0.0,80.994,0.18973665961010575,10.0,0.0,1.0
13:20,230.998,0.06324555320336472,229,231,99.9991341991342,0.027379027360764495,140.0,0.0,80.998,0.06324555320336946,10.0,0.0,1.0
13:30,230.998,0.06324555320336472,229,231,99.9991341991342,0.027379027360764495,140.0,0.0,80.998,0.06324555320336946,10.0,0.0,1.0
13:39,230.999,0.031622776601686844,230,231,99.9995670995671,0.013689513680383354,140.0,0.0,80.999,0.03162277660168236,10.0,0.0,1.0
13:50,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
14:00,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
14:09,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
14:20,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
14:30,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
14:39,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
14:50,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
15:00,231.0,0.0,231,231,100.0,0.0,140.0,0.0,81.0,0.0,10.0,0.0,1.0
